;rok_2010;rok_2011;rok_2012;rok_2013;rok_2014;rok_2015;rok_2016;rok_2017;rok_2018;rok_2019;rok_2020
budynki i budowle;103;109.4;97.8;95;106.4;104.3;88.5;100.6;118.4;104.2;96.6
maszyny urz¹dzenia techniczne i narzêdzia;91.9;114.8;98.4;103.5;113.5;110.7;91.1;108;111.1;103.9;96.1
œrodki transportu;142.6;153;135.9;146.6;171.5;186.8;159;211.8;244;235.5;200.9
przemys³;97;109.3;100.1;104;115.5;113.4;87.5;102.8;109.6;109.9;89.4
górnictwo i wydobywanie;96.5;132.8;117.8;99;109.4;72.9;95.9;105.9;106.4;110.9;86.3
przetwórstwo przemys³owe;87;114.8;96.7;107;118.1;110.7;102.9;107.4;108.4;108.9;88.5
wytwarzanie i zaopatrywanie w energiê elektryczn¹ gaz parê wodn¹ i gor¹c¹ wodê;122.9;106;105.6;106.6;114;132.5;76.4;90.7;99.4;112;93.1
dostawa wody gospodarowanie œciekami i odpadami rekultywacja;102.8;89.9;93.7;91.9;111.9;116.3;43.3;100.5;163.6;112.1;89.1
budownictwo;92.5;116;65.9;124.6;114.4;103.5;93.6;94.1;140.1;101.3;108.8
handel naprawa pojazdów samochodowych;85.7;103.9;106.1;94.2;103.4;100.9;98;121.2;110.7;96.8;87.3
transport i gospodarka magazynowa;114.1;124.8;91.8;84.2;103.9;113;84.7;103.3;133.1;94.3;100.7
obs³uga rynku nieruchomoœci;94.4;101.2;107.9;108.8;103.9;96.8;98.3;106.5;94.1;106.7;104.1
